iter	Logloss
0	0.6626297224
1	0.6330189646
2	0.6099047117
3	0.5846933505
4	0.5646835344
5	0.5439048426
6	0.5242143174
7	0.5099029891
8	0.4950004362
9	0.4817017767
10	0.4691236611
11	0.4565653732
12	0.4460277191
13	0.4357369026
14	0.4263470986
15	0.4181974676
16	0.4103128939
17	0.403047685
18	0.3974027627
19	0.3913556208
20	0.3863548098
21	0.3813195971
22	0.3769011396
23	0.3731463978
24	0.3698816303
25	0.3663371622
26	0.3626206627
27	0.3603981773
28	0.3570076829
29	0.3539641672
30	0.3513467563
31	0.3485875953
32	0.3459388832
33	0.3438740703
34	0.3419879066
35	0.3402777238
36	0.3386459798
37	0.3368596981
38	0.3354916726
39	0.3340108646
40	0.3326462591
41	0.3314144857
42	0.3303364969
43	0.329220965
44	0.3278259363
45	0.3265109078
46	0.325639474
47	0.3246998087
48	0.3236231153
49	0.3227719124
50	0.321785103
51	0.3206428237
52	0.320062788
53	0.3191642886
54	0.3185521279
55	0.3176659249
56	0.3169400097
57	0.31630766
58	0.3156435999
59	0.3147733999
60	0.3142095254
61	0.3136348351
62	0.3131720295
63	0.3126908804
64	0.3121623728
65	0.3117118874
66	0.3113633449
67	0.3109104194
68	0.3104633699
69	0.3098591463
70	0.3093842063
71	0.308742572
72	0.3084680369
73	0.3080651624
74	0.3075612788
75	0.3070697884
76	0.3066786579
77	0.3063950385
78	0.306021592
79	0.3056133734
80	0.3052792754
81	0.3049080045
82	0.3045193014
83	0.3042480935
84	0.3040215433
85	0.303919064
86	0.3036356439
87	0.3031554781
88	0.3029063466
89	0.302647167
90	0.3024072262
91	0.3022142035
92	0.3019284138
93	0.3016286293
94	0.3012084569
95	0.3010453443
96	0.3008670594
97	0.3004996281
98	0.3001314748
99	0.2999165874
100	0.2997705119
101	0.2994693746
102	0.2992783247
103	0.2990981402
104	0.2986838715
105	0.2984410632
106	0.2982246591
107	0.2980693697
108	0.2979154581
109	0.2975778711
110	0.2972166727
111	0.297000571
112	0.2968063212
113	0.2962827455
114	0.2960735924
115	0.2958845535
116	0.2957551415
117	0.2954759848
118	0.2952743639
119	0.2948900028
120	0.294737285
121	0.2945457922
122	0.2944008772
123	0.2941289452
124	0.2938357937
125	0.293717211
126	0.293248649
127	0.2928679666
128	0.2925834246
129	0.2923052973
130	0.2920798018
131	0.2919020123
132	0.2918359217
133	0.2916581999
134	0.2915524943
135	0.2913560109
136	0.2912068949
137	0.2910541774
138	0.2909518504
139	0.2907862999
140	0.2906183476
141	0.2905491589
142	0.2904650389
143	0.2903002121
144	0.2900049856
145	0.2899180933
146	0.2898202115
147	0.2896755066
148	0.2895415064
149	0.289423752
150	0.2892422684
151	0.2890967063
152	0.2888929844
153	0.2887825318
154	0.2886466278
155	0.288557201
156	0.288411005
157	0.2882097084
158	0.2878775278
159	0.2877565894
160	0.2875982988
161	0.2875320521
162	0.2873733066
163	0.2872419893
164	0.2871045932
165	0.2869744604
