iter	Passed	Remaining
0	19	19888
1	37	18821
2	49	16612
3	69	17213
4	86	17308
5	102	16989
6	117	16723
7	129	16022
8	151	16670
9	186	18414
10	217	19564
11	237	19585
12	252	19187
13	265	18674
14	279	18381
15	293	18072
16	307	17769
17	321	17526
18	333	17226
19	346	16975
20	358	16698
21	371	16525
22	383	16296
23	398	16197
24	411	16066
25	427	16032
26	440	15878
27	452	15723
28	465	15570
29	479	15488
30	494	15467
31	507	15345
32	520	15245
33	534	15190
34	549	15142
35	569	15250
36	589	15333
37	614	15545
38	635	15659
39	656	15754
40	673	15744
41	686	15658
42	699	15568
43	714	15513
44	730	15493
45	744	15439
46	764	15504
47	783	15547
48	799	15518
49	814	15482
50	829	15434
51	844	15387
52	859	15357
53	875	15336
54	890	15301
55	912	15382
56	925	15314
57	940	15277
58	955	15233
59	970	15197
60	984	15161
61	1000	15129
62	1014	15095
63	1028	15036
64	1043	15010
65	1058	14975
66	1079	15036
67	1123	15394
68	1140	15389
69	1153	15330
70	1168	15289
71	1183	15255
72	1199	15234
73	1216	15225
74	1231	15193
75	1247	15165
76	1262	15133
77	1277	15103
78	1293	15075
79	1308	15051
80	1324	15028
81	1340	15008
82	1356	14984
83	1371	14959
84	1388	14946
85	1404	14921
86	1420	14905
87	1436	14890
88	1452	14865
89	1468	14848
90	1479	14780
91	1497	14775
92	1517	14795
93	1540	14847
94	1560	14867
95	1580	14886
96	1594	14847
97	1608	14804
98	1624	14781
99	1638	14749
100	1654	14728
101	1669	14693
102	1687	14696
103	1706	14703
104	1721	14672
105	1735	14640
106	1750	14606
107	1774	14652
108	1791	14640
109	1806	14619
110	1821	14585
111	1837	14569
112	1851	14536
113	1868	14525
114	1885	14512
115	1903	14504
116	1917	14472
117	1933	14453
118	1958	14501
119	1980	14522
120	2003	14554
121	2026	14582
122	2048	14606
123	2096	14807
124	2124	14872
125	2145	14885
126	2168	14908
127	2185	14887
128	2205	14888
129	2220	14856
130	2238	14851
131	2258	14850
132	2275	14831
133	2297	14844
134	2307	14786
135	2334	14833
136	2361	14874
137	2387	14915
138	2410	14929
139	2428	14920
140	2449	14925
141	2468	14915
142	2489	14916
143	2509	14918
144	2528	14909
145	2542	14870
146	2562	14871
147	2576	14831
148	2591	14798
149	2604	14760
150	2619	14726
151	2645	14759
152	2662	14741
153	2678	14712
154	2691	14674
155	2704	14634
156	2721	14615
157	2738	14593
158	2766	14632
159	2788	14641
160	2800	14594
161	2820	14588
162	2831	14540
163	2845	14506
164	2858	14466
165	2872	14430
166	2889	14412
167	2903	14380
168	2917	14347
169	2932	14318
170	2947	14288
171	2962	14260
172	2978	14236
173	2991	14203
174	3005	14169
175	3019	14136
176	3034	14110
177	3083	14240
178	3104	14238
179	3119	14210
180	3134	14182
181	3148	14150
182	3169	14148
183	3191	14154
184	3235	14253
185	3249	14222
186	3265	14196
187	3280	14169
188	3295	14140
189	3312	14120
190	3326	14089
191	3339	14055
192	3354	14026
193	3367	13989
