iter	Logloss
0	0.664315357
1	0.6338633899
2	0.6094572301
3	0.5839182973
4	0.563764964
5	0.5435140998
6	0.5235658477
7	0.5092798905
8	0.4936060266
9	0.478893876
10	0.464431615
11	0.4519177216
12	0.44098809
13	0.4308862017
14	0.4218571707
15	0.4140161663
16	0.4067954654
17	0.3998263122
18	0.3941048875
19	0.3889640462
20	0.3838912711
21	0.3790557832
22	0.3746872099
23	0.3703227111
24	0.3668144051
25	0.3631414464
26	0.3598314973
27	0.356793794
28	0.3536773372
29	0.3509277297
30	0.3487423848
31	0.3462157676
32	0.3442950884
33	0.3422257213
34	0.3398513594
35	0.3378510451
36	0.3360139876
37	0.334515321
38	0.3333107148
39	0.3317433458
40	0.3302552239
41	0.3289694127
42	0.3278820511
43	0.3269527634
44	0.3256562318
45	0.3245441418
46	0.3234556298
47	0.3223424971
48	0.3214823213
49	0.3204502825
50	0.3197467823
51	0.3190195341
52	0.3183370166
53	0.3173070495
54	0.3165130789
55	0.3157807926
56	0.3150132659
57	0.3143114546
58	0.3136017869
59	0.3131825794
60	0.3124366577
61	0.3119419389
62	0.3114325383
63	0.3110003182
64	0.3104363443
65	0.3099322279
66	0.3095225764
67	0.3091624387
68	0.3087016576
69	0.3082727747
70	0.3077786253
71	0.3072342825
72	0.3068815689
73	0.3065066577
74	0.3062865656
75	0.3057938968
76	0.3053522185
77	0.3048383324
78	0.3045546352
79	0.3042004491
80	0.3037602484
81	0.3034908051
82	0.3031174839
83	0.3028523517
84	0.3025870292
85	0.3023912494
86	0.3019189426
87	0.3016274862
88	0.3014316685
89	0.3011257843
90	0.3009219666
91	0.3007121397
92	0.3005013138
93	0.3002788093
94	0.3000536336
95	0.2996943981
96	0.2994930131
97	0.2993121445
98	0.2988905873
99	0.2986199443
100	0.2982244715
101	0.2980023157
102	0.2975929569
103	0.2970466815
104	0.2968243665
105	0.296609493
106	0.2964166596
107	0.296386274
108	0.2961166671
109	0.2959268064
110	0.2957585909
111	0.295484793
112	0.2952387503
113	0.2950822713
114	0.2948669391
115	0.2946746318
116	0.2945252235
117	0.2942194589
118	0.2940107604
119	0.2937667793
120	0.293608456
121	0.2934394512
122	0.2932336523
123	0.2930827353
124	0.2929505503
125	0.2927225784
126	0.292579601
127	0.292402324
128	0.2921895865
129	0.2920032641
130	0.2918353839
131	0.2917315263
132	0.2915447278
133	0.2913129505
134	0.2912327907
135	0.2910997105
136	0.2908861867
137	0.2907761195
138	0.2904442702
139	0.2903448942
140	0.2902039686
141	0.2900714295
142	0.289945484
143	0.2896885682
144	0.289509474
145	0.2893811843
146	0.2892497294
147	0.2891534428
148	0.2890196027
149	0.288944475
150	0.2887631464
151	0.2886431895
152	0.288549999
153	0.2883798017
154	0.2882249492
155	0.2881346694
156	0.287990437
157	0.2878546288
158	0.2877933731
159	0.2876820282
160	0.2876203367
161	0.287475258
162	0.287381324
163	0.2873067722
164	0.2870522741
165	0.2869560222
166	0.2867627038
167	0.2866500664
168	0.2865565646
169	0.2865184439
170	0.2865052217
171	0.2862368524
172	0.2861478431
173	0.2859154774
174	0.2858514988
175	0.2857479947
176	0.2857191409
177	0.2856461229
178	0.285576503
179	0.2854843761
180	0.2854797682
181	0.2853741261
182	0.2853463846
183	0.2853075037
184	0.2852321545
185	0.2851523789
186	0.2850355815
187	0.2849424896
188	0.2849019344
189	0.2847557766
190	0.2846043417
191	0.2845740802
192	0.2844768455
193	0.2844666974
194	0.2844286639
195	0.2843656192
196	0.2841824669
197	0.2840956635
198	0.2839993124
199	0.2839217913
200	0.2838242432
201	0.2836823026
202	0.2836560759
203	0.283480085
204	0.2833443315
205	0.2832443146
206	0.2830553702
207	0.2830389615
208	0.2830013515
209	0.2829308581
210	0.2828255518
211	0.2827952959
212	0.2827487049
213	0.282685215
214	0.2825978682
215	0.2825713283
216	0.2825107176
217	0.2824547557
218	0.2823649559
219	0.2823191405
220	0.2822574501
221	0.2821626841
222	0.2821070417
223	0.2820890624
224	0.2820171358
225	0.281927075
226	0.281884923
227	0.2818382619
228	0.2817954102
