iter	Passed	Remaining
0	99	99534
1	164	82197
2	194	64552
3	235	58569
4	274	54697
5	306	50766
6	345	48967
7	374	46458
8	409	45068
9	457	45286
10	489	44018
11	516	42564
12	555	42151
13	599	42218
14	644	42353
15	680	41854
16	711	41143
17	741	40434
18	772	39905
19	813	39868
20	847	39499
21	876	38985
22	911	38723
23	943	38356
24	977	38123
25	1004	37623
26	1045	37693
27	1079	37474
28	1114	37299
29	1156	37393
30	1195	37382
31	1218	36850
32	1250	36630
33	1277	36300
34	1302	35923
35	1325	35482
36	1346	35054
37	1373	34762
38	1395	34383
39	1420	34083
40	1444	33782
41	1465	33428
42	1490	33166
43	1525	33153
44	1573	33391
45	1647	34158
46	1673	33927
47	1698	33685
48	1724	33460
49	1761	33460
50	1785	33217
51	1811	33026
52	1850	33062
53	1881	32965
54	1924	33062
55	1966	33146
56	2002	33131
57	2059	33441
58	2102	33535
59	2138	33500
60	2180	33558
61	2202	33329
62	2235	33242
63	2265	33125
64	2291	32957
65	2315	32770
66	2337	32546
67	2360	32350
68	2383	32164
69	2403	31930
70	2424	31721
71	2446	31529
72	2470	31367
73	2499	31273
74	2519	31079
75	2542	30914
76	2566	30760
77	2587	30584
78	2608	30407
79	2630	30252
80	2652	30090
81	2679	29993
82	2716	30012
83	2735	29835
84	2757	29685
85	2780	29548
86	2810	29489
87	2835	29387
88	2857	29252
89	2884	29161
90	2908	29052
91	2929	28913
92	2952	28795
93	2975	28683
94	2999	28575
95	3024	28481
96	3050	28397
97	3076	28312
98	3114	28340
99	3144	28302
100	3164	28162
101	3185	28048
102	3207	27932
103	3230	27831
104	3250	27706
105	3268	27563
106	3290	27462
107	3298	27241
108	3320	27144
109	3340	27028
110	3363	26936
111	3386	26846
112	3415	26813
113	3440	26738
114	3459	26626
115	3480	26522
116	3503	26440
117	3524	26346
118	3543	26236
119	3567	26160
120	3590	26080
121	3614	26011
122	3641	25965
123	3673	25949
124	3692	25845
125	3713	25756
126	3735	25676
127	3757	25601
128	3777	25506
129	3799	25429
130	3822	25358
131	3844	25279
132	3869	25223
133	3891	25146
134	3914	25079
135	3948	25087
136	3987	25115
137	4019	25104
138	4065	25181
139	4096	25164
140	4120	25100
141	4152	25089
142	4173	25013
143	4202	24980
144	4221	24892
145	4245	24830
146	4266	24759
147	4286	24673
148	4307	24602
149	4328	24527
150	4358	24508
151	4381	24446
152	4401	24366
153	4424	24304
154	4446	24242
155	4465	24156
156	4485	24085
157	4510	24037
158	4532	23974
159	4554	23912
160	4575	23842
161	4599	23794
162	4628	23767
163	4650	23704
164	4672	23647
165	4692	23577
166	4713	23512
167	4737	23461
168	4758	23396
169	4776	23319
170	4784	23196
171	4811	23164
172	4829	23088
173	4853	23037
174	4871	22965
175	4891	22901
176	4910	22832
177	4941	22820
178	4962	22760
179	4983	22700
180	5008	22661
181	5038	22645
182	5055	22570
183	5078	22519
184	5098	22460
185	5120	22409
186	5143	22360
187	5165	22312
188	5204	22331
189	5238	22330
190	5272	22331
191	5313	22360
192	5336	22312
193	5344	22206
194	5373	22183
195	5397	22139
196	5423	22108
197	5444	22054
198	5466	22002
199	5491	21964
200	5513	21915
201	5534	21862
202	5554	21806
203	5580	21775
204	5602	21726
205	5624	21680
